"Codigo","Nombre","Categoria","Tecnologia","Estado","Departamento","Municipio","Ubicación","Altitud","LONGITUD","LATITUD","Fecha_instalacion","Fecha_suspension","Area Operativa","Corriente","Area Hidrografica","Zona Hidrografica","Subzona hidrografica","Entidad"
"11035020","SAN ISIDRO [11035020]","Pluviométrica","Convencional","Activa","Choco","Rio Quito (Paimadó)","(5.626166667, -76.74972222)","53","-76.74972222","5.626166667","15/03/1983",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Quito","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11035030","UNION PANAMERICANA - AUT  [11035030]","Climática Ordinaria","Automática con Telemetría","Activa","Choco","Unión Panamericana ( Animas)","(5.284827778, -76.627822222)","110","-76.627822222","5.284827778","29/12/2017",,"Area Operativa 09 - Cauca-Valle-Caldas",,"Caribe","Atrato - Darién","Río Quito","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11037010","SAN ISIDRO [11037010]","Limnimétrica","Convencional","Suspendida","Choco","Rio Quito (Paimadó)","(5.62625, -76.749721944)","53","-76.749721944","5.62625","15/05/1967","16/05/2022","Area Operativa 01 - Antioquia-Chocó","Quito","Caribe","Atrato - Darién","Río Quito","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11037020","PUENTE CERTEGUI [11037020]","Limnigráfica","Convencional","Activa","Choco","Cértegui","(5.37475, -76.61325)","77","-76.61325","5.37475","15/06/1971",,"Area Operativa 09 - Cauca-Valle-Caldas","Quito","Caribe","Atrato - Darién","Río Quito","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11037030","LA LOMA PUEBLO [11037030]","Limnigráfica","Automática con Telemetría","Suspendida","Choco","Rio Quito (Paimadó)","(5.584666667, -76.75327778)","72","-76.75327778","5.584666667","15/04/2005","11/10/2018","Area Operativa 01 - Antioquia-Chocó","Quito","Caribe","Atrato - Darién","Río Quito","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11040010","TUTUNENDO [11040010]","Pluviométrica","Convencional","Activa","Choco","Quibdó","(5.743611111, -76.53780556)","54","-76.53780556","5.743611111","15/01/1966",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Bebaramá y otros Directos Atrato (md)","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11045010","AEROPUERTO EL CARAÑO [11045010]","Sinóptica Principal","Automática con Telemetría","Activa","Choco","Quibdó","(5.690555556, -76.64377778)","75","-76.64377778","5.690555556","15/02/1947",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Cabi y otros Directos Atrato (md)","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11045030","HUAPANGO [11045030]","Climática Ordinaria","Convencional","Suspendida","Choco","Quibdó","(5.7, -76.63333333)","50","-76.63333333","5.7","15/07/1966","15/11/1972","Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Cabi y otros Directos Atrato (md)","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11047010","BELEN [11047010]","Limnigráfica","Automática con Telemetría, Convencional","Activa","Choco","Quibdó","(5.764833333, -76.66966667)","26","-76.66966667","5.764833333","15/12/1965",,"Area Operativa 01 - Antioquia-Chocó","Atrato","Caribe","Atrato - Darién","Río Cabi y otros Directos Atrato (md)","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11047020","QUIBDO [11047020]","Limnigráfica","Automática con Telemetría","Activa","Choco","Quibdó","(5.697778056, -76.662222222)","21","-76.662222222","5.697778056","15/05/1974",,"Area Operativa 01 - Antioquia-Chocó","Atrato","Caribe","Atrato - Darién","Río Cabi y otros Directos Atrato (md)","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11047030","NEGUA [11047030]","Limnimétrica","Convencional","Activa","Choco","Quibdó","(5.828168889, -76.618016667)","35","-76.618016667","5.828168889","15/05/1975","02/07/2025","Area Operativa 01 - Antioquia-Chocó","Negua","Caribe","Atrato - Darién","Río Bebaramá y otros Directos Atrato (md)","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11047040","QUIBDO [11047040]","Limnigráfica","Automática con Telemetría","En Mantenimiento","Choco","Quibdó","(5.697778056, -76.66222222)","21","-76.66222222","5.697778056","30/11/2008",,"Area Operativa 01 - Antioquia-Chocó","Atrato","Caribe","Atrato - Darién","Río Cabi y otros Directos Atrato (md)","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11050010","TAGACHI [11050010]","Pluviométrica","Convencional","Activa","Choco","Quibdó","(6.221777778, -76.72702778)","20","-76.72702778","6.221777778","15/01/1966",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Directos Atrato entre ríos Bebaramá y Murrí (md)","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11050020","BETE [11050020]","Pluviométrica","Convencional","Activa","Choco","Medio Atrato (Beté)","(5.994722222, -76.78002778)","25","-76.78002778","5.994722222","15/02/1977",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Directos Atrato entre ríos Quito y Bojayá (mi)","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11050030","EL BUEY [11050030]","Pluviométrica","Convencional","Activa","Choco","Medio Atrato (Beté)","(6.1025, -76.82136111)","25","-76.82136111","6.1025","15/02/1977",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Directos Atrato entre ríos Quito y Bojayá (mi)","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11050040","CALAORRA [11050040]","Pluviométrica","Convencional","Suspendida","Choco","Quibdó","(5.766666667, -76.85)","50","-76.85","5.766666667","15/02/1977","15/03/1994","Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Directos Atrato entre ríos Quito y Bojayá (mi)","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11050060","ALTO DEL BUEY [11050060]","Pluviométrica","Convencional","Activa","Choco","Medio Atrato (Beté)","(6.108333333, -76.91563889)","100","-76.91563889","6.108333333","15/02/1977",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Directos Atrato entre ríos Quito y Bojayá (mi)","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11057010","TAGACHI [11057010]","Limnimétrica","Convencional","Suspendida","Choco","Quibdó","(6.216666667, -76.71666667)","18","-76.71666667","6.216666667","15/04/1966","15/02/2002","Area Operativa 01 - Antioquia-Chocó","Atrato","Caribe","Atrato - Darién","Directos Atrato entre ríos Bebaramá y Murrí (md)","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11057020","SAN ANTONIO PADUA [11057020]","Limnigráfica","Automática con Telemetría","Activa","Antioquia","Vigia Del Fuerte","(6.286666667, -76.76180556)","18","-76.76180556","6.286666667","15/05/1973",,"Area Operativa 01 - Antioquia-Chocó","Atrato","Caribe","Atrato - Darién","Directos Atrato entre ríos Bebaramá y Murrí (md)","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11060010","BUCHADO [11060010]","Pluviométrica","Convencional","Activa","Antioquia","Vigia Del Fuerte","(6.42, -76.77927778)","18","-76.77927778","6.42","15/01/1969",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Directos Atrato entre ríos Bebaramá y Murrí (md)","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11070010","PLAYA LA-MURRY [11070010]","Pluviométrica","Convencional","Suspendida","Antioquia","Vigia Del Fuerte","(6.616666944, -76.75)","22","-76.75","6.616666944","15/12/1966","16/05/2022","Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Murrí","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11070020","EL ROBLE [11070020]","Pluviométrica","Convencional","Activa","Antioquia","Urrao","(6.332051667, -76.229145)","1,496","-76.229145","6.332051667","15/03/1977",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Murrí","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11070030","LA CLARITA [11070030]","Pluviométrica","Convencional","Activa","Antioquia","Urrao","(6.539444444, -76.15861111)","2,300","-76.15861111","6.539444444","15/03/1977",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Murrí","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11070040","URRAO [11070040]","Pluviométrica","Convencional","Suspendida","Antioquia","Urrao","(6.333333333, -76.16666667)","1,875","-76.16666667","6.333333333","15/01/1969","15/07/1973","Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Murrí","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11070130","BRECHON EL [11070130]","Pluviométrica","Convencional","Suspendida","Antioquia","Urrao","(6.133333333, -76.03333333)","2,320","-76.03333333","6.133333333","15/10/1970","15/01/2000","Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Murrí","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11075010","HONDA LA [11075010]","Climática Ordinaria","Convencional","Suspendida","Antioquia","Urrao","(6.356388889, -76.15805556)","1,850","-76.15805556","6.356388889","15/07/1990","10/05/2011","Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Murrí","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11075020","URRAO [11075020]","Climática Ordinaria","Convencional","Activa","Antioquia","Urrao","(6.298305556, -76.143305556)","1,833","-76.143305556","6.298305556","15/06/1973",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Murrí","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11077010","BELLAVISTA  [11077010]","Limnimétrica","Convencional","Activa","Choco","Bojayá (Bellavista)","(6.558805556, -76.88447222)","12","-76.88447222","6.558805556","15/05/1966",,"Area Operativa 01 - Antioquia-Chocó","Atrato","Caribe","Atrato - Darién","Directos Atrato entre ríos Quito y Bojayá (mi)","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11077020","LA MAGDALENA [11077020]","Limnimétrica","Convencional","Activa","Antioquia","Urrao","(6.298361111, -76.13447222)","1,770","-76.13447222","6.298361111","15/09/1972",,"Area Operativa 01 - Antioquia-Chocó","Penderisco","Caribe","Atrato - Darién","Río Murrí","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11077030","PLAYA LA [11077030]","Limnimétrica","Convencional","Suspendida","Antioquia","Vigia Del Fuerte","(6.616666667, -76.75)","22","-76.75","6.616666667","15/09/1975","15/02/2002","Area Operativa 01 - Antioquia-Chocó","Murri","Caribe","Atrato - Darién","Río Murrí","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11080010","BELLAVISTA [11080010]","Climática Ordinaria","Automática con Telemetría","En Mantenimiento","Choco","Bojayá (Bellavista)","(6.559166667, -76.88541667)","18","-76.88541667","6.559166667","15/07/1966",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Directos Atrato entre ríos Quito y Bojayá (mi)","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11080030","LOMA LA-BOJAYA [11080030]","Pluviométrica","Convencional","Suspendida","Choco","Bojayá (Bellavista)","(6.533333056, -76.983332778)","20","-76.983332778","6.533333056","15/01/1967","16/05/2022","Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Bojayá","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11085010","LOMA LA [11085010]","Agrometeorológica","Convencional","Suspendida","Choco","Bojayá (Bellavista)","(6.533333333, -76.98333333)","20","-76.98333333","6.533333333","15/09/1980","15/07/2000","Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Bojayá","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11090010","OPOGADO [11090010]","Pluviométrica","Convencional","Activa","Choco","Bojayá (Bellavista)","(6.812527778, -76.97272222)","50","-76.97272222","6.812527778","15/04/1977",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Napipí - Río Opogadó","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11100010","VIGIA DE CURVARADO [11100010]","Pluviométrica","Convencional","Suspendida","Choco","Carmen Del Darién  (Curbaradó)","(7.083333333, -76.91666667)","25","-76.91666667","7.083333333","15/06/1972","15/02/2002","Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Murindó - Directos al Atrato","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11100020","DOMINGODO [11100020]","Pluviométrica","Convencional","Activa","Choco","Carmen Del Darién  (Curbaradó)","(7.18, -77.03)","4","-77.03","7.18","15/01/1966",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Sucio","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11100030","MURINDO [11100030]","Pluviométrica","Convencional","Suspendida","Antioquia","Murindó","(7.0, -76.75)","23","-76.75","7","15/12/1981","15/12/1986","Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Murindó - Directos al Atrato","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11105010","MURINDO [11105010]","Climática Ordinaria","Convencional","Suspendida","Antioquia","Murindó","(6.966666667, -76.75)","23","-76.75","6.966666667","15/04/1972","15/11/1981","Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Murindó - Directos al Atrato","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11105020","CARMEN DEL DARIEN [11105020]","Climática Ordinaria","Automática con Telemetría","En Mantenimiento","Choco","Carmen Del Darién  (Curbaradó)","(7.154333333, -76.97719444)","18","-76.97719444","7.154333333","28/09/2005",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Sucio","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11107010","DOMINGODO [11107010]","Limnimétrica","Convencional","Activa","Choco","Carmen Del Darién  (Curbaradó)","(7.18, -77.03)","4","-77.03","7.18","15/11/1966",,"Area Operativa 01 - Antioquia-Chocó","Atrato","Caribe","Atrato - Darién","Río Sucio","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11110010","NORMAL SANTA TERESA AUT [11110010]","Climática Ordinaria","Automática con Telemetría, Convencional","Activa","Antioquia","Frontino","(6.763333333, -76.13361111)","1,429","-76.13361111","6.763333333","15/01/1969",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Sucio","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11110020","ABRIAQUI [11110020]","Pluviométrica","Convencional","Activa","Antioquia","Abriaquí","(6.6425, -76.075)","1,920","-76.075","6.6425","15/12/1974",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Sucio","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11110030","FUEMIA [11110030]","Pluviométrica","Convencional","Activa","Antioquia","Dabeiba","(6.85789, -76.252319444)","1,046","-76.252319444","6.85789","15/03/1977",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Sucio","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11110040","CANASGORDAS [11110040]","Pluviométrica","Convencional","Suspendida","Antioquia","Cañasgordas","(6.75, -76.03333333)","1,200","-76.03333333","6.75","15/01/1966","15/12/1973","Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Sucio","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11110060","DABEIBA [11110060]","Pluviométrica","Convencional","Suspendida","Antioquia","Dabeiba","(7.0, -76.26666667)","540","-76.26666667","7","15/07/1944","15/05/1948","Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Sucio","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11110110","BOQUERON DE TOYO [11110110]","Climática Ordinaria","Automática con Telemetría, Convencional","Activa","Antioquia","Giraldo","(6.699444444, -75.9775)","20","-75.9775","6.699444444","15/05/1983","10/05/2011","Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Sucio","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11115010","DABEIBA [11115010]","Climática Principal","Convencional","Suspendida","Antioquia","Dabeiba","(7.0, -76.266666944)","540","-76.266666944","7","15/03/1972","16/05/2022","Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Sucio","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11115020","CAÑASGORDAS [11115020]","Climática Ordinaria","Automática con Telemetría","En Mantenimiento","Antioquia","Cañasgordas","(6.758027778, -76.02966667)","1,294","-76.02966667","6.758027778","15/07/1973",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Sucio","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11115030","NUTIBARA [11115030]","Climática Ordinaria","Convencional","Suspendida","Antioquia","Frontino","(6.816666667, -76.25)","1,400","-76.25","6.816666667","15/07/1973","15/09/1981","Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Sucio","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11115040","MUSINGA AUT [11115040]","Climática Ordinaria","Automática con Telemetría, Convencional","Activa","Antioquia","Frontino","(6.777972222, -76.20333333)","1,396","-76.20333333","6.777972222","15/08/1984",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Sucio","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11117010","EL AÑIL [11117010]","Limnimétrica","Automática con Telemetría, Convencional","Activa","Antioquia","Uramita","(6.873888889, -76.14958333)","650","-76.14958333","6.873888889","15/03/1972",,"Area Operativa 01 - Antioquia-Chocó","Riosucio","Caribe","Atrato - Darién","Río Sucio","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11117020","DABEIBA 1 [11117020]","Limnimétrica","Convencional","Suspendida","Antioquia","Dabeiba","(7.016666667, -76.26666667)","490","-76.26666667","7.016666667","15/09/1972","15/02/1979","Area Operativa 01 - Antioquia-Chocó","Riosucio","Caribe","Atrato - Darién","Río Sucio","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11117030","TASCON [11117030]","Limnigráfica","Convencional","Suspendida","Antioquia","Dabeiba","(7.083333333, -76.41666667)","300","-76.41666667","7.083333333","15/10/1976","15/11/2004","Area Operativa 01 - Antioquia-Chocó","Riosucio","Caribe","Atrato - Darién","Río Sucio","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
